,D,VT,VP,J,ID
113,9.219544,True,True,5,18
114,1.4142135,True,True,0,19
115,1.0,True,True,1,19
116,0.0,True,True,2,19
117,2.828427,True,True,3,19
118,2.236068,True,True,4,19
119,1.4142135,True,True,5,19
120,1.4142135,True,True,0,20
121,1.4142135,True,True,1,20
122,0.0,True,True,2,20
123,2.236068,True,True,3,20
124,1.0,True,True,4,20
125,1.0,True,True,5,20
126,1.0,True,True,0,21
127,1.0,True,True,1,21
128,2.0,True,True,2,21
129,1.0,True,True,3,21
130,2.0,True,True,4,21
131,1.0,True,True,5,21
132,1.4142135,True,True,0,22
133,0.0,True,True,1,22
134,0.0,True,True,2,22
135,1.4142135,True,True,3,22
136,2.0,True,True,4,22
137,3.1622777,True,True,5,22
138,1.4142135,True,True,0,23
139,1.4142135,True,True,1,23
140,4.0,True,True,2,23
141,1.0,True,True,3,23
142,0.0,True,True,4,23
143,2.0,True,True,5,23
144,1.0,True,True,0,24
145,2.0,True,True,1,24
146,1.0,True,True,2,24
147,,False,False,3,24
148,,False,False,4,24
149,,False,False,5,24
150,1.4142135,True,True,0,25
151,0.0,True,True,1,25
152,1.0,True,True,2,25
153,5.0990195,True,True,3,25
154,5.0990195,True,True,4,25
155,1.4142135,True,True,5,25
156,1.0,True,True,0,26
157,2.236068,True,True,1,26
158,1.4142135,True,True,2,26
159,,False,False,3,26
160,,False,True,4,26
161,1.4142135,True,True,5,26
162,2.236068,True,True,0,27
163,1.0,True,True,1,27
164,2.0,True,True,2,27
165,1.0,True,True,3,27
166,1.4142135,True,True,4,27
167,1.4142135,True,True,5,27
168,1.4142135,True,True,0,28
169,0.0,True,True,1,28
170,1.4142135,True,True,2,28
171,2.236068,True,True,3,28
172,3.0,True,True,4,28
173,1.0,True,True,5,28
174,0.0,True,True,0,29
175,1.0,True,True,1,29
176,3.0,True,True,2,29
177,1.4142135,True,True,3,29
178,1.0,True,True,4,29
179,3.0,True,True,5,29
180,2.0,True,True,0,30
181,1.4142135,True,True,1,30
182,1.0,True,True,2,30
183,2.0,True,True,3,30
184,3.1622777,True,True,4,30
185,2.236068,True,True,5,30
186,2.0,True,True,0,31
187,0.0,True,True,1,31
188,2.0,True,True,2,31
189,2.236068,True,True,3,31
190,2.0,True,True,4,31
191,2.0,True,True,5,31
192,1.4142135,True,True,0,32
193,1.0,True,True,1,32
194,1.0,True,True,2,32
195,1.0,True,True,3,32
196,2.0,True,True,4,32
197,1.0,True,True,5,32
198,0.0,True,True,0,33
199,1.0,True,True,1,33
200,0.0,True,True,2,33
201,1.0,True,True,3,33
202,0.0,True,True,4,33
203,1.0,True,True,5,33
204,1.0,True,True,0,34
205,1.0,True,True,1,34
206,1.4142135,True,True,2,34
207,1.4142135,True,True,3,34
208,2.0,True,True,4,34
209,2.0,True,True,5,34
210,1.4142135,True,True,0,35
211,1.4142135,True,True,1,35
212,1.4142135,True,True,2,35
213,1.4142135,True,True,3,35
214,2.0,True,True,4,35
215,2.236068,True,True,5,35
216,1.4142135,True,True,0,36
217,1.4142135,True,True,1,36
218,1.0,True,True,2,36
219,8.246211,True,True,3,36
220,4.472136,True,True,4,36
221,4.0,True,True,5,36
222,1.0,True,True,0,37
223,1.0,True,True,1,37
224,1.4142135,True,True,2,37
225,1.0,True,True,3,37
226,1.0,True,True,4,37
227,0.0,True,True,5,37
228,2.0,True,True,0,38
229,1.0,True,True,1,38
230,1.4142135,True,True,2,38
231,2.0,True,True,3,38
232,1.4142135,True,True,4,38
233,1.4142135,True,True,5,38
234,2.236068,True,True,0,39
235,2.0,True,True,1,39
236,1.4142135,True,True,2,39
237,2.236068,True,True,3,39
238,1.4142135,True,True,4,39
239,1.0,True,True,5,39
240,0.0,True,True,0,40
241,0.0,True,True,1,40
242,1.4142135,True,True,2,40
243,2.0,True,True,3,40
244,1.4142135,True,True,4,40
245,1.0,True,True,5,40
246,1.4142135,True,True,0,41
247,1.4142135,True,True,1,41
248,1.4142135,True,True,2,41
249,2.236068,True,True,3,41
250,2.236068,True,True,4,41
251,2.236068,True,True,5,41
252,0.0,True,True,0,42
253,1.4142135,True,True,1,42
254,1.4142135,True,True,2,42
255,4.1231055,True,True,3,42
256,,True,False,4,42
257,,True,False,5,42
258,1.4142135,True,True,0,43
259,0.0,True,True,1,43
260,2.236068,True,True,2,43
261,1.0,True,True,3,43
262,1.0,True,True,4,43
263,1.4142135,True,True,5,43
264,0.0,True,True,0,44
265,2.0,True,True,1,44
266,1.0,True,True,2,44
267,1.4142135,True,True,3,44
268,3.1622777,True,True,4,44
269,1.4142135,True,True,5,44
270,0.0,True,True,0,45
271,0.0,True,True,1,45
272,1.4142135,True,True,2,45
273,1.4142135,True,True,3,45
274,,True,False,4,45
275,,False,False,5,45
276,2.0,True,True,0,46
277,1.0,True,True,1,46
278,2.0,True,True,2,46
279,,True,False,3,46
280,,True,False,4,46
281,,True,False,5,46
282,1.4142135,True,True,0,47
283,1.4142135,True,True,1,47
284,1.0,True,True,2,47
285,2.236068,True,True,3,47
286,1.0,True,True,4,47
287,1.0,True,True,5,47
288,1.0,True,True,0,48
289,1.4142135,True,True,1,48
290,2.236068,True,True,2,48
291,,False,False,3,48
292,,False,False,4,48
293,,True,False,5,48
294,1.0,True,True,0,49
295,1.0,True,True,1,49
296,2.236068,True,True,2,49
297,2.236068,True,True,3,49
298,1.0,True,True,4,49
299,1.0,True,True,5,49
300,0.0,True,True,0,50
301,1.0,True,True,1,50
302,1.4142135,True,True,2,50
303,1.4142135,True,True,3,50
304,0.0,True,True,4,50
305,2.236068,True,True,5,50
306,1.4142135,True,True,0,51
307,1.4142135,True,True,1,51
308,1.0,True,True,2,51
309,2.236068,True,True,3,51
310,2.0,True,True,4,51
311,3.0,True,True,5,51
312,1.0,True,True,0,52
313,0.0,True,True,1,52
314,1.0,True,True,2,52
315,1.4142135,True,True,3,52
316,2.236068,True,True,4,52
317,1.0,True,True,5,52
318,0.0,True,True,0,53
319,1.4142135,True,True,1,53
320,1.0,True,True,2,53
321,0.0,True,True,3,53
322,9.055386,True,True,4,53
323,9.055386,True,True,5,53
324,1.0,True,True,0,54
325,1.4142135,True,True,1,54
326,1.4142135,True,True,2,54
327,1.0,True,True,3,54
328,,True,False,4,54
329,,True,False,5,54
330,1.0,True,True,0,55
331,2.236068,True,True,1,55
332,1.4142135,True,True,2,55
333,2.236068,True,True,3,55
334,1.4142135,True,True,4,55
335,1.0,True,True,5,55
336,0.0,True,True,0,56
337,1.4142135,True,True,1,56
338,1.4142135,True,True,2,56
339,1.0,True,True,3,56
340,2.236068,True,True,4,56
341,3.1622777,True,True,5,56
342,1.4142135,True,True,0,57
343,2.828427,True,True,1,57
344,2.0,True,True,2,57
345,2.828427,True,True,3,57
346,4.0,True,True,4,57
347,4.472136,True,True,5,57
348,1.0,True,True,0,58
349,0.0,True,True,1,58
350,1.0,True,True,2,58
351,2.236068,True,True,3,58
352,2.828427,True,True,4,58
353,2.828427,True,True,5,58
354,1.0,True,True,0,59
355,1.4142135,True,True,1,59
356,0.0,True,True,2,59
357,1.0,True,True,3,59
358,1.0,True,True,4,59
359,1.4142135,True,True,5,59
360,1.0,True,True,0,60
361,2.236068,True,True,1,60
362,1.0,True,True,2,60
363,4.0,True,True,3,60
364,3.1622777,True,True,4,60
365,2.236068,True,True,5,60
366,2.0,True,True,0,61
367,1.0,True,True,1,61
368,1.0,True,True,2,61
369,1.0,True,True,3,61
370,1.0,True,True,4,61
371,2.236068,True,True,5,61
372,1.4142135,True,True,0,62
373,1.4142135,True,True,1,62
374,1.4142135,True,True,2,62
375,2.0,True,True,3,62
376,0.0,True,True,4,62
377,4.1231055,True,True,5,62
378,1.0,True,True,0,63
379,1.4142135,True,True,1,63
380,0.0,True,True,2,63
381,1.0,True,True,3,63
382,1.4142135,True,True,4,63
383,1.4142135,True,True,5,63
384,2.0,True,True,0,64
385,1.4142135,True,True,1,64
386,1.4142135,True,True,2,64
387,1.0,True,True,3,64
388,1.0,True,True,4,64
389,1.4142135,True,True,5,64
390,1.0,True,True,0,65
391,1.0,True,True,1,65
392,1.0,True,True,2,65
393,1.4142135,True,True,3,65
394,2.0,True,True,4,65
395,3.1622777,True,True,5,65
396,3.0,True,True,0,66
397,0.0,True,True,1,66
398,1.0,True,True,2,66
399,3.6055512,True,True,3,66
400,2.828427,True,True,4,66
401,7.81025,True,True,5,66
402,1.0,True,True,0,67
403,1.0,True,True,1,67
404,3.1622777,True,True,2,67
405,2.236068,True,True,3,67
406,1.4142135,True,True,4,67
407,1.0,True,True,5,67
408,1.0,True,True,0,68
409,1.0,True,True,1,68
410,0.0,True,True,2,68
411,0.0,True,True,3,68
412,3.1622777,True,True,4,68
413,1.0,True,True,5,68
414,1.0,True,True,0,69
415,1.0,True,True,1,69
416,0.0,True,True,2,69
417,,False,False,3,69
418,,False,False,4,69
419,,False,False,5,69
420,1.4142135,True,True,0,70
421,2.828427,True,True,1,70
422,2.236068,True,True,2,70
423,2.0,True,True,3,70
424,1.0,True,True,4,70
425,1.4142135,True,True,5,70
426,1.4142135,True,True,0,71
427,1.0,True,True,1,71
428,0.0,True,True,2,71
429,0.0,True,True,3,71
430,2.236068,True,True,4,71
431,0.0,True,True,5,71
432,2.236068,True,True,0,72
433,1.0,True,True,1,72
434,2.236068,True,True,2,72
435,3.0,True,True,3,72
436,4.1231055,True,True,4,72
437,1.0,True,True,5,72
438,0.0,True,True,0,73
439,0.0,True,True,1,73
440,1.0,True,True,2,73
441,1.0,True,True,3,73
442,1.0,True,True,4,73
443,2.828427,True,True,5,73
444,0.0,True,True,0,74
445,1.0,True,True,1,74
446,2.0,True,True,2,74
447,1.4142135,True,True,3,74
448,2.0,True,True,4,74
449,1.0,True,True,5,74
450,1.0,True,True,0,75
451,1.0,True,True,1,75
452,1.0,True,True,2,75
453,,True,False,3,75
454,,True,False,4,75
455,,True,False,5,75
456,1.4142135,True,True,0,76
457,1.0,True,True,1,76
458,1.4142135,True,True,2,76
459,2.828427,True,True,3,76
460,1.0,True,True,4,76
461,1.4142135,True,True,5,76
462,1.4142135,True,True,0,77
463,1.0,True,True,1,77
464,1.0,True,True,2,77
465,,False,False,3,77
466,,False,False,4,77
467,,False,False,5,77
468,1.4142135,True,True,0,78
469,1.0,True,True,1,78
470,2.0,True,True,2,78
471,0.0,True,True,3,78
472,3.0,True,True,4,78
473,3.1622777,True,True,5,78
474,0.0,True,True,0,79
475,1.0,True,True,1,79
476,2.0,True,True,2,79
477,,False,False,3,79
478,,False,False,4,79
479,,False,False,5,79
480,2.236068,True,True,0,80
481,1.4142135,True,True,1,80
482,1.4142135,True,True,2,80
483,1.4142135,True,True,3,80
484,1.0,True,True,4,80
485,1.0,True,True,5,80
486,1.4142135,True,True,0,81
487,1.4142135,True,True,1,81
488,1.4142135,True,True,2,81
489,2.0,True,True,3,81
490,2.828427,True,True,4,81
491,1.0,True,True,5,81
492,2.236068,True,True,0,82
493,1.4142135,True,True,1,82
494,2.236068,True,True,2,82
495,1.0,True,True,3,82
496,2.0,True,True,4,82
497,1.4142135,True,True,5,82
498,1.4142135,True,True,0,83
499,1.0,True,True,1,83
500,0.0,True,True,2,83
501,2.0,True,True,3,83
502,1.0,True,True,4,83
503,1.0,True,True,5,83
504,2.0,True,True,0,84
505,1.0,True,True,1,84
506,1.0,True,True,2,84
507,2.0,True,True,3,84
508,1.0,True,True,4,84
509,1.0,True,True,5,84
510,1.0,True,True,0,85
511,2.236068,True,True,1,85
512,1.0,True,True,2,85
513,5.0990195,True,True,3,85
514,2.236068,True,True,4,85
515,2.236068,True,True,5,85
516,2.0,True,True,0,86
517,0.0,True,True,1,86
518,2.0,True,True,2,86
519,,False,False,3,86
520,,False,False,4,86
521,,False,False,5,86
522,2.0,True,True,0,87
523,1.0,True,True,1,87
524,1.0,True,True,2,87
525,2.236068,True,True,3,87
526,2.0,True,True,4,87
527,2.236068,True,True,5,87
528,1.4142135,True,True,0,88
529,1.0,True,True,1,88
530,2.0,True,True,2,88
531,1.0,True,True,3,88
532,1.4142135,True,True,4,88
533,1.0,True,True,5,88
534,1.0,True,True,0,89
535,1.4142135,True,True,1,89
536,1.4142135,True,True,2,89
537,1.0,True,True,3,89
538,3.6055512,True,True,4,89
539,2.0,True,True,5,89
540,0.0,True,True,0,90
541,1.0,True,True,1,90
542,1.0,True,True,2,90
543,2.0,True,True,3,90
544,2.0,True,True,4,90
545,2.0,True,True,5,90
546,1.0,True,True,0,91
547,1.0,True,True,1,91
548,0.0,True,True,2,91
549,1.0,True,True,3,91
550,1.4142135,True,True,4,91
551,2.236068,True,True,5,91
552,0.0,True,True,0,92
553,1.4142135,True,True,1,92
554,1.0,True,True,2,92
555,1.0,True,True,3,92
556,1.0,True,True,4,92
557,2.236068,True,True,5,92
558,1.0,True,True,0,93
559,1.4142135,True,True,1,93
560,1.4142135,True,True,2,93
561,0.0,True,True,3,93
562,1.0,True,True,4,93
563,2.0,True,True,5,93
564,0.0,True,True,0,94
565,2.0,True,True,1,94
566,1.0,True,True,2,94
567,3.6055512,True,True,3,94
568,1.0,True,True,4,94
569,1.4142135,True,True,5,94
570,0.0,True,True,0,95
571,0.0,True,True,1,95
572,2.0,True,True,2,95
573,2.236068,True,True,3,95
574,5.3851647,True,True,4,95
575,1.0,True,True,5,95
576,1.0,True,True,0,96
577,0.0,True,True,1,96
578,1.4142135,True,True,2,96
579,,True,False,3,96
580,,False,False,4,96
581,,False,False,5,96
582,1.0,True,True,0,97
583,0.0,True,True,1,97
584,1.4142135,True,True,2,97
585,1.0,True,True,3,97
586,1.0,True,True,4,97
587,9.0,True,True,5,97
588,1.4142135,True,True,0,98
589,1.4142135,True,True,1,98
590,0.0,True,True,2,98
591,2.0,True,True,3,98
592,1.4142135,True,True,4,98
593,1.4142135,True,True,5,98
594,0.0,True,True,0,99
595,4.1231055,True,True,1,99
596,0.0,True,True,2,99
597,,False,False,3,99
598,,False,False,4,99
599,,False,False,5,99
600,1.0,True,True,0,100
601,0.0,True,True,1,100
602,1.0,True,True,2,100
603,1.4142135,True,True,3,100
604,2.828427,True,True,4,100
605,2.0,True,True,5,100
606,0.0,True,True,0,101
607,2.0,True,True,1,101
608,1.0,True,True,2,101
609,1.4142135,True,True,3,101
610,1.4142135,True,True,4,101
611,0.0,True,True,5,101
612,1.4142135,True,True,0,102
613,2.236068,True,True,1,102
614,1.4142135,True,True,2,102
615,0.0,True,True,3,102
616,1.0,True,True,4,102
617,1.0,True,True,5,102
618,1.4142135,True,True,0,103
619,1.0,True,True,1,103
620,1.4142135,True,True,2,103
621,4.2426405,True,True,3,103
622,2.236068,True,True,4,103
623,0.0,True,True,5,103
624,0.0,True,True,0,104
625,0.0,True,True,1,104
626,1.0,True,True,2,104
627,5.0990195,True,True,3,104
628,4.1231055,True,True,4,104
629,7.071068,True,True,5,104
630,1.4142135,True,True,0,105
631,0.0,True,True,1,105
632,1.0,True,True,2,105
633,1.0,True,True,3,105
634,1.0,True,True,4,105
635,1.0,True,True,5,105
636,1.4142135,True,True,0,106
637,1.4142135,True,True,1,106
638,1.0,True,True,2,106
639,1.4142135,True,True,3,106
640,2.236068,True,True,4,106
641,1.4142135,True,True,5,106
642,4.1231055,True,True,0,107
643,2.0,True,True,1,107
644,1.4142135,True,True,2,107
645,1.0,True,True,3,107
646,1.4142135,True,True,4,107
647,4.0,True,True,5,107
648,1.0,True,True,0,108
649,0.0,True,True,1,108
650,1.0,True,True,2,108
651,1.0,True,True,3,108
652,1.4142135,True,True,4,108
653,3.1622777,True,True,5,108
654,1.0,True,True,0,109
655,0.0,True,True,1,109
656,0.0,True,True,2,109
657,3.0,True,True,3,109
658,2.0,True,True,4,109
659,13.038404,True,True,5,109
660,0.0,True,True,0,110
661,1.0,True,True,1,110
662,1.0,True,True,2,110
663,2.236068,True,True,3,110
664,0.0,True,True,4,110
665,5.0,True,True,5,110
666,2.236068,True,True,0,111
667,1.0,True,True,1,111
668,1.0,True,True,2,111
669,0.0,True,True,3,111
670,1.4142135,True,True,4,111
671,1.0,True,True,5,111
672,2.0,True,True,0,112
673,1.0,True,True,1,112
674,1.0,True,True,2,112
675,1.4142135,True,True,3,112
676,1.0,True,True,4,112
677,1.0,True,True,5,112
678,2.0,True,True,0,113
679,1.4142135,True,True,1,113
680,0.0,True,True,2,113
681,2.0,True,True,3,113
682,2.828427,True,True,4,113
683,1.4142135,True,True,5,113
684,2.236068,True,True,0,114
685,1.0,True,True,1,114
686,1.0,True,True,2,114
687,0.0,True,True,3,114
688,2.0,True,True,4,114
689,1.4142135,True,True,5,114
690,1.4142135,True,True,0,115
691,1.4142135,True,True,1,115
692,1.0,True,True,2,115
693,0.0,True,True,3,115
694,0.0,True,True,4,115
695,1.4142135,True,True,5,115
696,1.4142135,True,True,0,116
697,1.0,True,True,1,116
698,1.0,True,True,2,116
699,1.4142135,True,True,3,116
700,2.0,True,True,4,116
701,1.0,True,True,5,116
702,0.0,True,True,0,117
703,1.0,True,True,1,117
704,1.0,True,True,2,117
705,1.4142135,True,True,3,117
706,1.4142135,True,True,4,117
707,1.0,True,True,5,117
708,0.0,True,True,0,118
709,1.0,True,True,1,118
710,2.0,True,True,2,118
711,2.236068,True,True,3,118
712,2.0,True,True,4,118
713,3.1622777,True,True,5,118
714,1.4142135,True,True,0,119
715,1.4142135,True,True,1,119
716,2.0,True,True,2,119
717,1.0,True,True,3,119
718,0.0,True,True,4,119
719,1.0,True,True,5,119
720,1.4142135,True,True,0,120
721,1.0,True,True,1,120
722,1.0,True,True,2,120
723,1.4142135,True,True,3,120
724,2.236068,True,True,4,120
725,1.0,True,True,5,120
726,1.0,True,True,0,121
727,1.4142135,True,True,1,121
728,0.0,True,True,2,121
729,1.0,True,True,3,121
730,2.236068,True,True,4,121
731,2.0,True,True,5,121
732,1.0,True,True,0,122
733,1.0,True,True,1,122
734,1.0,True,True,2,122
735,2.236068,True,True,3,122
736,1.0,True,True,4,122
737,2.236068,True,True,5,122
738,0.0,True,True,0,123
739,1.0,True,True,1,123
740,1.0,True,True,2,123
741,1.4142135,True,True,3,123
742,1.4142135,True,True,4,123
743,2.236068,True,True,5,123
744,1.0,True,True,0,124
745,2.0,True,True,1,124
746,2.236068,True,True,2,124
747,2.0,True,True,3,124
748,0.0,True,True,4,124
749,1.0,True,True,5,124
750,1.0,True,True,0,125
751,1.4142135,True,True,1,125
752,1.0,True,True,2,125
753,1.4142135,True,True,3,125
754,1.0,True,True,4,125
755,1.4142135,True,True,5,125
756,2.0,True,True,0,126
757,1.0,True,True,1,126
758,1.4142135,True,True,2,126
759,1.4142135,True,True,3,126
760,1.0,True,True,4,126
761,2.236068,True,True,5,126
762,1.0,True,True,0,127
763,2.0,True,True,1,127
764,1.4142135,True,True,2,127
765,0.0,True,True,3,127
766,1.0,True,True,4,127
767,1.4142135,True,True,5,127
768,1.0,True,True,0,128
769,1.0,True,True,1,128
770,1.4142135,True,True,2,128
771,1.4142135,True,True,3,128
772,3.1622777,True,True,4,128
773,0.0,True,True,5,128
774,1.4142135,True,True,0,129
775,1.0,True,True,1,129
776,1.4142135,True,True,2,129
777,,False,False,3,129
778,,False,False,4,129
779,,False,False,5,129
780,0.0,True,True,0,130
781,1.0,True,True,1,130
782,1.0,True,True,2,130
783,1.0,True,True,3,130
784,2.0,True,True,4,130
785,1.4142135,True,True,5,130
786,1.4142135,True,True,0,131
787,0.0,True,True,1,131
788,0.0,True,True,2,131
789,,False,False,3,131
790,,False,False,4,131
791,,False,False,5,131
792,1.0,True,True,0,132
793,1.0,True,True,1,132
794,2.236068,True,True,2,132
795,2.828427,True,True,3,132
796,2.0,True,True,4,132
797,1.4142135,True,True,5,132
798,1.0,True,True,0,133
799,2.0,True,True,1,133
800,1.0,True,True,2,133
801,0.0,True,True,3,133
802,1.4142135,True,True,4,133
803,1.0,True,True,5,133
804,1.4142135,True,True,0,134
805,1.0,True,True,1,134
806,0.0,True,True,2,134
807,1.4142135,True,True,3,134
808,0.0,True,True,4,134
809,1.4142135,True,True,5,134
810,1.0,True,True,0,135
811,1.0,True,True,1,135
812,2.0,True,True,2,135
813,1.0,True,True,3,135
814,1.0,True,True,4,135
815,1.4142135,True,True,5,135
816,1.0,True,True,0,136
817,1.4142135,True,True,1,136
818,2.0,True,True,2,136
819,2.236068,True,True,3,136
820,2.0,True,True,4,136
821,2.236068,True,True,5,136
822,1.0,True,True,0,137
823,1.0,True,True,1,137
824,1.4142135,True,True,2,137
825,0.0,True,True,3,137
826,1.0,True,True,4,137
827,2.236068,True,True,5,137
828,0.0,True,True,0,138
829,0.0,True,True,1,138
830,1.4142135,True,True,2,138
831,2.236068,True,True,3,138
832,2.236068,True,True,4,138
833,1.4142135,True,True,5,138
834,0.0,True,True,0,139
835,1.4142135,True,True,1,139
836,1.0,True,True,2,139
837,1.4142135,True,True,3,139
838,1.0,True,True,4,139
839,1.0,True,True,5,139
840,1.4142135,True,True,0,140
841,1.0,True,True,1,140
842,0.0,True,True,2,140
843,1.0,True,True,3,140
844,1.4142135,True,True,4,140
845,1.0,True,True,5,140
846,4.0,True,True,0,141
847,2.0,True,True,1,141
848,1.0,True,True,2,141
849,2.828427,True,True,3,141
850,2.236068,True,True,4,141
851,2.236068,True,True,5,141
852,0.0,True,True,0,142
853,1.0,True,True,1,142
854,2.0,True,True,2,142
855,4.2426405,True,True,3,142
856,1.0,True,True,4,142
857,1.4142135,True,True,5,142
858,2.0,True,True,0,143
859,2.236068,True,True,1,143
860,1.0,True,True,2,143
861,2.828427,True,True,3,143
862,8.0,True,True,4,143
863,,True,False,5,143
864,1.4142135,True,True,0,144
865,2.236068,True,True,1,144
866,0.0,True,True,2,144
867,1.4142135,True,True,3,144
868,1.0,True,True,4,144
869,2.236068,True,True,5,144
870,1.0,True,True,0,145
871,0.0,True,True,1,145
872,1.4142135,True,True,2,145
873,1.0,True,True,3,145
874,0.0,True,True,4,145
875,3.1622777,True,True,5,145
876,2.236068,True,True,0,146
877,1.0,True,True,1,146
878,1.0,True,True,2,146
879,1.0,True,True,3,146
880,1.0,True,True,4,146
881,2.828427,True,True,5,146
882,1.0,True,True,0,147
883,1.0,True,True,1,147
884,0.0,True,True,2,147
885,1.0,True,True,3,147
886,1.4142135,True,True,4,147
887,1.0,True,True,5,147
888,1.4142135,True,True,0,148
889,1.4142135,True,True,1,148
890,0.0,True,True,2,148
891,1.0,True,True,3,148
892,3.1622777,True,True,4,148
893,2.0,True,True,5,148
894,1.0,True,True,0,149
895,0.0,True,True,1,149
896,0.0,True,True,2,149
897,2.0,True,True,3,149
898,3.1622777,True,True,4,149
899,0.0,True,True,5,149
900,1.0,True,True,0,150
901,0.0,True,True,1,150
902,2.236068,True,True,2,150
903,2.0,True,True,3,150
904,0.0,True,True,4,150
905,0.0,True,True,5,150
906,1.4142135,True,True,0,151
907,2.236068,True,True,1,151
908,1.4142135,True,True,2,151
909,1.0,True,True,3,151
910,1.4142135,True,True,4,151
911,1.4142135,True,True,5,151
912,0.0,True,True,0,152
913,1.0,True,True,1,152
914,1.4142135,True,True,2,152
915,0.0,True,True,3,152
916,2.0,True,True,4,152
917,1.0,True,True,5,152
918,1.0,True,True,0,153
919,0.0,True,True,1,153
920,0.0,True,True,2,153
921,0.0,True,True,3,153
922,2.236068,True,True,4,153
923,4.1231055,True,True,5,153
924,1.4142135,True,True,0,154
925,1.4142135,True,True,1,154
926,1.4142135,True,True,2,154
927,1.4142135,True,True,3,154
928,1.0,True,True,4,154
929,1.4142135,True,True,5,154
930,0.0,True,True,0,155
931,1.0,True,True,1,155
932,1.0,True,True,2,155
933,1.0,True,True,3,155
934,2.236068,True,True,4,155
935,0.0,True,True,5,155
936,2.0,True,True,0,156
937,1.0,True,True,1,156
938,1.0,True,True,2,156
939,,False,False,3,156
940,,False,False,4,156
941,,False,False,5,156
942,0.0,True,True,0,157
943,1.4142135,True,True,1,157
944,2.236068,True,True,2,157
945,2.0,True,True,3,157
946,1.4142135,True,True,4,157
947,1.0,True,True,5,157
948,1.0,True,True,0,158
949,1.4142135,True,True,1,158
950,0.0,True,True,2,158
951,1.0,True,True,3,158
952,2.0,True,True,4,158
953,1.0,True,True,5,158
954,1.0,True,True,0,159
955,1.4142135,True,True,1,159
956,2.0,True,True,2,159
957,1.0,True,True,3,159
958,2.236068,True,True,4,159
959,1.0,True,True,5,159
960,0.0,True,True,0,160
961,1.0,True,True,1,160
962,0.0,True,True,2,160
963,2.236068,True,True,3,160
964,0.0,True,True,4,160
965,2.236068,True,True,5,160
